id,name,category,a_priori,R1_void_index,paper52_score,delta,h3_pass,h4_pass
1,Deloitte Risk Advisory,paper52_original,high_void,11,11,0,True,True
2,MSCI ESG Ratings,paper52_original,high_void,10,10,0,True,True
3,OneTrust Privacy & AI Gov.,paper52_original,high_void,8,8,0,True,True
4,EU AI Act Conformity (Notified Bodies),paper52_original,medium,7,7,0,True,
5,Arthur AI (Model Monitoring),paper52_original,medium,6,6,0,True,
6,ISO/IEC 42001 Certification,paper52_original,constraint_pole,5,5,0,True,True
7,NIST AI RMF (Constraint),paper52_original,constraint_pole,3,3,0,True,True
8,S&P Global Credit Ratings,new_boundary,constraint_pole,3,,,,True
9,EBA Internal Ratings-Based (IRB),new_boundary,constraint_pole,4,,,,True
10,Refinitiv ESG Data (LSEG),new_boundary,high_void,10,,,,True
11,Moody's Analytics Climate Risk,new_boundary,high_void,8,,,,True
12,Credo AI (AI Governance Platform),new_boundary,medium,4,,,,
13,GDPR Data Protection Authorities,new_boundary,constraint_pole,3,,,,True
14,Consumer Financial Protection Bureau,new_boundary,constraint_pole,3,,,,True
15,Fitch Ratings (Credit),new_boundary,constraint_pole,3,,,,True
