id,claim,evidence_tier,effect_statistic,primary_source,locator,reproducibility,hostile_witness_use
HW-A01,Deactivating Facebook improved subjective well-being in a randomized experiment,A,Directional positive well-being effect during deactivation window,AER 2020 10.1257/aer.20190658,https://www.aeaweb.org/articles?id=10.1257/aer.20190658&page=67 abstract,5,Establishes causal harm-reduction when exposure is removed
HW-A02,Deactivating Facebook and Instagram improved emotional state in two large randomized experiments,A,Facebook +0.060 SD Instagram +0.041 SD on emotional-state index,NBER W33697 10.3386/w33697,https://www.nber.org/papers/w33697 abstract lines 138-139,5,Quantifies effect sizes with direct policy relevance
HW-A03,Instagram deactivation effect concentrated among women under 25 in 2025 RCT evidence,A,Exploratory subgroup stronger Instagram effect among women under 25,NBER W33697 10.3386/w33697,https://www.nber.org/papers/w33697 abstract line 139,4,Supports vulnerability stratification in youth female subgroup arguments
HW-B01,Staggered Facebook rollout across colleges is linked to worse student mental health under quasi-experimental design,B,Negative mental-health impacts in rollout-based DiD event-study framework,AER 2022 10.1257/aer.20211218,https://alexeymakarin.github.io/assets/Braghieri_Levy_Makarin_AER_2022.pdf,4,Causal-style external validity outside short deactivation windows
HW-B02,Longer exposure in the Facebook rollout setting was associated with worse mental-health outcomes,B,Exposure-duration worsening reported in summary and paper discussion,AEA Research Highlight for AER 2022,https://www.aeaweb.org/research/charts/social-media-mental-health-college lines 49-50,3,Supports dose-duration mechanism not just on/off effect
HW-C01,Internal materials cited in multistate complaint describe ranking systems taking youth into negative spirals and feedback loops,C,Internal communication language cited in complaint,Multistate complaint less-redacted filing,https://oag.ca.gov/system/files/attachments/press-docs/Less-redacted%20complaint%20-%20released.pdf p34 lines 2027-2029,2,Admission-style mechanism language for hostile questioning
HW-C02,Complaint cites internal discussion that teen discovery recommendation surfaces produce dopamine hits,C,Internal presentation language on teen reward neuroscience response,Multistate complaint less-redacted filing,Same PDF p34 lines 2037-2042,2,Mechanistic intent and knowledge argument via reward pathways
HW-C03,Complaint cites internal concern that unpredictable rewards on platform can create user problems,C,Internal 2018 presentation concern about unpredictability-based rewards,Multistate complaint less-redacted filing,Same PDF p34 lines 2044-2050,2,Shows contemporaneous risk awareness
HW-C04,Complaint alleges Meta continued designs to capitalize on dopamine responses and maximize youth time-on-platform,C,Alleged continuation despite known risks,Multistate complaint less-redacted filing,Same PDF p35 lines 2083-2084,2,Bridges knowledge to continued optimization behavior
HW-D01,U.S. adolescent NSDUH MDE trend rose sharply pre-multimode period,D,+8.0 percentage points 2004 to 2020,Local audited pipeline output,/data/apps/morr/ops/lab/social-media-litigation/nsduh_feature_shock_results.json lines 22-29,5,Population trend anchor for external harm trajectory
HW-D02,U.S. adolescent NSDUH MDE with severe impairment also rose strongly pre-multimode period,D,+6.5 percentage points 2006 to 2020,Local audited pipeline output,/data/apps/morr/ops/lab/social-media-litigation/nsduh_feature_shock_results.json lines 46-53,5,Severity-tracked trend strengthens public-health salience
HW-D03,Feature shocks are concentrated in immediate ramp windows while health deltas move same direction with weaker significance,D,Feature p=0.0014 MDE p=0.1105 MDE severe p=0.1063,Local audited pipeline output,/data/apps/morr/ops/lab/social-media-litigation/nsduh_feature_shock_results.json lines 269-288,5,Honest timing test strong design shock directional health alignment no overclaim
HW-D04,First-difference alignment favors feature intensity over raw adoption for both NSDUH outcomes,D,MDE r=0.510 p=0.075 vs adoption r=0.348 p=0.250; severe r=0.477 p=0.098 vs 0.303 p=0.326,Local audited pipeline output,/data/apps/morr/ops/lab/social-media-litigation/nsduh_feature_shock_results.json lines 105-113 and 177-185,5,Counters it is only adoption volume argument
HW-D05,Western Europe replication shows lower life satisfaction where feature intensity is higher,D,r=-0.6477 p=0.0167 R2=0.4195; GDP-partial r=-0.5805 p=0.0375,PISA enhanced analysis output,/data/apps/morr/ops/lab/social-media-litigation/pisa/pisa_enhanced_results.json lines 25-33,4,Cross-national stress test with regional specificity
HW-D06,PISA microdata panel has large scale and strong adverse dose-response association,D,n_students=613744; dose-response r=-0.9670 p=0.00715 slope=-0.1039,PISA microdata output,/data/apps/morr/ops/lab/social-media-litigation/pisa/pisa_microdata_results.json lines 2-7,4,Demonstrates scale plus gradient pattern for dose-response narrative
HW-D07,HBSC reports problematic social media use rising between 2018 and 2022 among adolescents,D,Problematic SMU 7 percent in 2018 to 11 percent in 2022,HBSC data browser summary,https://data-browser.hbsc.org/topics/social-media/ lines 183-184,3,Independent surveillance trend for external corroboration
HW-D08,NSDUH age-band divergence shows youth worsening far faster than older adults in the same period,D,2011 to 2020 MDE +8.8 age 12-17 vs +0.8 age 26+ equals 11.0x; severe +6.3 vs +1.0 equals 6.3x,Local age-comparator pipeline output,/data/apps/morr/ops/lab/social-media-litigation/nsduh_age_comparator_results.json lines 19-36 55-72 and 104-110,5,Counters everyone worsened equally narrative with within-dataset age contrast
HW-D09,Youth-adult NSDUH gap widened nearly monotonically across 2011-2020,D,Gap-year trend MDE r=0.9887 p=0.000005; severe gap r=0.9780 p=0.000005,Local age-comparator pipeline output,/data/apps/morr/ops/lab/social-media-litigation/nsduh_age_comparator_results.json lines 340-352,5,Supplies high-strength temporal widening pattern not single-point contrast only
HW-D10,Feature exposure tracks youth-adult gap strongly while older-adult outcomes are weakly related,D,MDE gap vs feature r=0.9636 p=0.00005 vs adult26 r=0.3782 p=0.2984; severe gap r=0.9531 p=0.00005 vs adult26 r=0.4187 p=0.2318,Local age-comparator pipeline output,/data/apps/morr/ops/lab/social-media-litigation/nsduh_age_comparator_results.json lines 143-147 199-203 255-258 and 311-314,5,Supports youth-targeted vulnerability framing within shared macro context
HW-D11,Paired label-swap test shows raw-adoption alignment is materially stronger for youth than 26+ adults,D,Exact paired test 2011-2020 MDE one-sided p=0.00293; severe one-sided p=0.02148,Local age-comparator pipeline output,/data/apps/morr/ops/lab/social-media-litigation/nsduh_age_comparator_results.json lines 367-373 and 383-389,4,Tests age-label specificity under exchangeability null without changing years
HW-D12,Fixed rollout windows show concentrated under-25 severe deterioration with opposite-sign placebo block,D,Under-25 severe rollout effect +0.435 p=0.0476; placebo effect -0.330 p=0.8968,Local event-window quasi-experiment output,/data/apps/morr/ops/lab/social-media-litigation/nsduh_event_window_quasi_results.json summary.secondary_under25.under25_mde_severe,5,Adds exact timing/placebo stress evidence while staying observational
HW-D13,Rollout-window concentration is strongest for 18-25 vs 26+ severe gap and not for 12-17,D,18-25 minus 26+ severe gap effect +0.710 p=0.0159; 12-17 minus 26+ severe gap effect -0.340 p=0.9444,Local event-window quasi-experiment output,/data/apps/morr/ops/lab/social-media-litigation/nsduh_event_window_quasi_results.json outcome_tests gap severe keys,5,Preempts overclaim by separating supported and unsupported age-specific timing claims
HW-D14,Direct teen-specific platform panel extraction is feasible but current 6-country overlap is mixed and underpowered for stable ecological inference,D,IFPS 2021 teen panel N=6 normalized feature r=-0.305 p=0.556; prevalence-weighted feature r=+0.582 p=0.225; prevalence-weighted algo r=+0.736 p=0.095,Local IFPS teen-panel pipeline output,/data/apps/morr/ops/lab/social-media-litigation/pisa/pisa_ifps_teen_proxy_results.json correlations,5,Demonstrates evidence discipline direct-teen layer exists but current sample is not decisive
HW-D15,IFPS-calibrated teen transfer scale-up does not produce a stable single-direction ecological coefficient,D,Composition mode N=50 global mean-features r=+0.254 p=0.075; Western Europe r=-0.077 p=0.803; bootstrap 95% global +0.226 to +0.284 and Western Europe -0.108 to -0.055,Local IFPS calibrated scale-up output,/data/apps/morr/ops/lab/social-media-litigation/pisa/pisa_ifps_teen_calibrated_scaleup_results.json results and bootstrap_composition_calibrated,5,Shows non-forcing discipline and narrows next step to larger direct-teen measurement rather than transfer extrapolation
HW-D16,HBSC direct teen problematic-use prevalence is higher where platform feature intensity is higher,D,HBSC 2022 age-15 N=29 StatCounter mean-features vs problematic-use avg r=+0.510 p=0.0047; permutation two-sided p=0.0062; bootstrap 95% +0.340 to +0.691; app-proxy sensitivity r=+0.432 p=0.0193,Local HBSC teen-outcome alignment output,/data/apps/morr/ops/lab/social-media-litigation/pisa/pisa_hbsc_teen_outcome_alignment_results.json global_correlations permutation_tests and bootstrap_pearson,5,Adds independent direct-teen outcome corroboration under the same feature geometry while preserving non-causal framing
HW-D17,External platform-policy shock windows show severe deterioration concentration in under-25 and 18-25 with weaker older-adult severe controls,D,v2 platform-policy family under-25 severe +0.435 p=0.0476; 18-25 severe +0.960 p=0.0238; 18-25 vs 26+ severe gap +0.710 p=0.0159; 26+ severe control +0.250 p=0.119,Local event-window v2 output,/data/apps/morr/ops/lab/social-media-litigation/nsduh_event_window_quasi_v2_results.json family_results.platform_policy_shocks.summary,5,Provides externally anchored timing corroboration while maintaining observational caveat
