name,model_type,truthfulqa_mc2,mmlu,hellaswag,arc_challenge,mt_bench,arena_elo,sycophancy_rate,O,R,alpha,pe,pe_zone
Claude 3 Sonnet,aligned,0.6,0.79,0.89,0.92,7.9,1200.0,0.25,0.469,0.5,1.781,-29.8769,Sub-critical (Pe<1)
Claude 3 Opus,aligned,0.65,0.868,0.952,0.96,9.0,1249.0,0.22,0.0,0.2,2.813,-25.6841,Sub-critical (Pe<1)
Claude 3 Haiku,aligned,0.55,0.752,0.858,0.887,7.5,1178.0,0.28,0.937,0.8,1.406,-23.7572,Sub-critical (Pe<1)
Qwen-1.5-72B,base,0.48,0.77,0.86,0.68,,,,1.594,1.5,0.5,-17.8764,Sub-critical (Pe<1)
Llama-3-70B,base,0.474,0.794,0.88,0.72,,,,1.65,1.5,0.5,-17.2104,Sub-critical (Pe<1)
Mixtral-8x7B-v0.1,base,0.467,0.706,0.865,0.662,,,,1.716,1.5,0.5,-16.4505,Sub-critical (Pe<1)
Gemma-7B,base,0.448,0.639,0.808,0.613,,,,1.894,1.5,0.5,-14.4743,Sub-critical (Pe<1)
Llama-2-70B,base,0.447,0.698,0.87,0.673,,,,1.903,1.5,0.5,-14.3736,Sub-critical (Pe<1)
Llama-3-8B,base,0.44,0.654,0.82,0.6,,,,1.969,1.5,0.5,-13.6774,Sub-critical (Pe<1)
Mistral-7B-v0.1,base,0.425,0.614,0.812,0.598,,,,2.109,1.5,0.5,-12.2337,Sub-critical (Pe<1)
GPT-4o (2024-05),aligned,0.62,0.887,0.96,0.968,9.2,1287.0,0.3,0.281,1.0,3.0,-10.5503,Sub-critical (Pe<1)
Llama-2-70B-Chat,aligned,0.527,0.63,0.852,0.64,6.86,1077.0,0.44,1.153,2.4,0.806,-9.8115,Sub-critical (Pe<1)
Llama-3-70B-Instruct,aligned,0.56,0.8,0.885,0.73,8.52,1210.0,0.32,0.844,1.2,2.363,-9.3754,Sub-critical (Pe<1)
Gemma-7B-IT,aligned,0.49,0.643,0.81,0.618,7.2,1047.0,0.39,1.5,1.9,1.125,-8.293,Sub-critical (Pe<1)
dolphin-2.2.1-mistral-7b,base,0.38,0.59,0.805,0.58,,,,2.531,1.5,0.5,-8.2369,Sub-critical (Pe<1)
Llama-2-13B,base,0.366,0.553,0.803,0.59,,,,2.662,1.5,0.5,-7.0759,Sub-critical (Pe<1)
Qwen-1.5-72B-Chat,aligned,0.55,0.76,0.855,0.7,8.61,1172.0,0.33,0.937,1.3,2.447,-6.8855,Sub-critical (Pe<1)
Phi-3-mini-4k-instruct,aligned,0.53,0.692,0.8,0.65,8.38,1066.0,0.34,1.125,1.4,2.231,-6.2655,Sub-critical (Pe<1)
Mistral-7B-Instruct-v0.2,aligned,0.51,0.608,0.83,0.63,7.6,1072.0,0.4,1.312,2.0,1.5,-5.7859,Sub-critical (Pe<1)
GPT-4 (0314),aligned,0.59,0.864,0.953,0.965,8.96,1248.0,0.35,0.563,1.5,2.775,-5.5742,Sub-critical (Pe<1)
Llama-2-7B,base,0.339,0.459,0.771,0.531,,,,2.916,1.5,0.5,-4.9182,Sub-critical (Pe<1)
Mixtral-8x7B-Instruct,aligned,0.525,0.717,0.87,0.698,8.3,1121.0,0.36,1.172,1.6,2.156,-4.814,Sub-critical (Pe<1)
Llama-3-8B-Instruct,aligned,0.51,0.662,0.821,0.615,8.05,1152.0,0.38,1.312,1.8,1.922,-3.935,Sub-critical (Pe<1)
Llama-2-7B-Chat,aligned,0.454,0.48,0.775,0.529,6.27,1042.0,0.5,1.838,3.0,0.253,-3.4743,Sub-critical (Pe<1)
Llama-2-13B-Chat,aligned,0.449,0.546,0.802,0.591,6.65,1063.0,0.47,1.884,2.7,0.609,-2.6366,Sub-critical (Pe<1)
WizardLM-2-7B,aligned,0.48,0.635,0.81,0.61,7.8,1065.0,0.41,1.594,2.1,1.688,-1.1297,Sub-critical (Pe<1)
GPT-3.5-turbo,aligned,0.47,0.7,0.855,0.851,7.94,1117.0,0.42,1.688,2.2,1.819,1.4663,Zone I (1-4)
