id,name,category,O,R,alpha,V_raw,Pe,longevity_years,effectiveness,adoption_year,is_original,source
1,Versailles Treaty,financial,3,3,3,9,43.893,5,0,1919,1,Keynes 1919; German reparations collapse → WWII
2,Dawes Plan / JPMorgan,financial,2,2,3,7,12.882,5,1,1924,1,McNeil 1986; circular extraction US→DE→Allies→US
3,Young Plan / BIS,financial,2,2,2,6,3.844,3,1,1929,1,Schuker 1988; Depression-collapse 1931
4,Bretton Woods,financial,1,1,1,3,-25.873,27,4,1944,1,Eichengreen 1996; 27yr stable monetary order
5,IMF Structural Adj. (SAPs),financial,2,3,2,7,12.882,40,0,1982,1,Easterly 2005 Lancet; IMF IEO 2004; persistent despite failure
6,Basel III Capital Reforms,financial,0,1,1,2,-44.964,14,3,2010,0,BIS Annual Econ Report 2019; capital buffers materially improved
7,FATF AML Standards,financial,2,2,2,6,3.844,35,1,1989,0,"IMF 2021; estimated 2-5% GDP still laundered; adoption high, impact low"
8,Dodd-Frank Wall St. Reform,financial,1,2,1,4,-13.351,14,2,2010,0,"Acharya et al 2014 NBER; SIFI resilience improved, Volcker partial"
9,Montreal Protocol,environmental,0,1,0,1,-75.469,37,4,1987,0,WMO 2022; ozone layer recovery on track; exceptional
10,Kyoto Protocol,environmental,2,2,2,6,3.844,23,1,1997,0,UNEP 2012; US withdrawal; targets missed; phase-out 2012
11,Paris Agreement,environmental,2,2,2,6,3.844,9,1,2015,0,"UNEP Emissions Gap 2023; current pledges → 2.9°C, far from targets"
12,EU Emissions Trading (ETS),environmental,1,1,1,3,-25.873,19,2,2005,0,Ellerman 2010; Joltreau 2019; ~15% reduction in covered sectors
13,REACH Chemical Regulation,environmental,1,1,1,3,-25.873,17,3,2007,0,ECHA 2023; >2000 hazardous substances restricted; strong substitution
14,Convention on Biological Diversity,environmental,2,2,3,7,12.882,31,0,1993,0,CBD GBO-5 2020; all 20 Aichi 2020 biodiversity targets missed
15,Ramsar Wetlands Convention,environmental,1,1,2,4,-13.351,49,2,1975,0,Gardner et al 2015 Phil Trans; wetland loss rate slowed in listed sites
16,CDM / Clean Dev. Mechanism,environmental,2,3,2,7,12.882,12,1,2001,0,Sovacool 2010 Energy Policy; ~75% projects non-additional
17,GDPR Data Protection,ai_tech,1,2,1,4,-13.351,6,2,2018,0,IAPP 2023; compliance behavior changed but enforcement inconsistent
18,HIPAA Security Rule,ai_tech,1,1,2,4,-13.351,19,2,2005,0,HHS OCR 2021; breach notification + costs reduced in compliant orgs
19,Safe Harbor / Privacy Shield,ai_tech,2,2,3,7,12.882,15,0,2000,0,"Schrems I 2015, Schrems II 2020; both invalidated by ECJ"
20,Sarbanes-Oxley Act,ai_tech,1,1,1,3,-25.873,22,3,2002,0,Coates & Srinivasan 2014 J. Econ. Persp.; earnings manipulation ↓
21,COPPA Children's Privacy,ai_tech,2,2,2,6,3.844,26,1,1998,0,FTC 2022 COPPA review; persistent commercial evasion; limited fines
22,NIST Cybersecurity Framework,ai_tech,0,1,1,2,-44.964,10,2,2014,0,NIST 2024 CSF 2.0; 50%+ US critical infra adopted; voluntary
23,FTC Section 5 Algorithmic,ai_tech,2,2,2,6,3.844,12,1,2012,0,FTC 2022 surveillance report; limited enforcement relative to scope
24,Global Fund,development,1,1,1,3,-25.873,22,4,2002,1,IHME 2021; ~65M lives; board structure prevents donor capture
25,UNGA,development,0,2,1,3,-25.873,79,2,1945,1,Weiss et al 2009; durable coordination; weak enforcement
26,Marshall Plan,development,1,2,1,4,-13.351,4,4,1948,1,DeLong & Eichengreen 1993; GDP pre-war levels by 1952
27,PEPFAR,development,1,2,1,4,-13.351,22,3,2003,1,"IHME 2020; ~21M lives; bilateral, results-based"
28,League of Nations,development,2,3,2,7,12.882,15,0,1920,1,"Northedge 1986; failed Manchuria 1931, Ethiopia 1935"
29,World Bank Conditionality,development,2,3,2,7,12.882,40,0,1980,0,Stiglitz 2002; World Bank IEG 2004; recurring crises despite lending
30,Millennium Dev. Goals,development,1,2,1,4,-13.351,15,2,2000,0,UN 2015 MDG final; poverty ↓ largely pre-existing China/India trend
