exhibit_id,date,year,actor,role,strength_tier,category,signal_text,feature_tags,source_name,source_url,source_anchor,status_note,role_weight,strength_weight,feature_count,breadth_weight,signal_score
HW-001,2018-06-01,2018,Meta VP of Analytics (as quoted in WA AG release),admission,medium,engagement_recall,Internal statement: notification channel had been abused as a company-level practice.,"['push_notifications', 'engagement_recall', 'compulsive_use']",Washington AG statement on unsealed Meta complaint,https://www.atg.wa.gov/news/news-releases/ag-ferguson-statement-unsealed-federal-complaint-against-meta-harming-youth,L225-L226,Not adjudicated on merits in this source.,3.0,1.5,3,1.3,5.8500000000000005
HW-002,2018-06-01,2018,Meta internal presentation (as summarized in WA AG release),allegation,medium,problematic_use_knowledge,Internal presentation titled 'Facebook Addiction' reportedly proposed reducing notifications to curb problematic use.,"['push_notifications', 'problematic_use', 'self_regulation_friction']",Washington AG statement on unsealed Meta complaint,https://www.atg.wa.gov/news/news-releases/ag-ferguson-statement-unsealed-federal-complaint-against-meta-harming-youth,L225-L226,Agency summary of complaint/internal materials.,2.0,1.5,3,1.3,3.9000000000000004
HW-003,2019-04-01,2019,Meta VP Research email (as quoted in WA AG release),admission,medium,harm_knowledge,Internal proposal referenced scientific evidence that net wellbeing effects were slightly negative.,"['harm_knowledge', 'wellbeing_decline']",Washington AG statement on unsealed Meta complaint,https://www.atg.wa.gov/news/news-releases/ag-ferguson-statement-unsealed-federal-complaint-against-meta-harming-youth,L228-L229,Not adjudicated on merits in this source.,3.0,1.5,2,1.2,5.3999999999999995
HW-004,2021-09-30,2021,Meta public statements/testimony (quoted in filed complaint),allegation,low,denial_mismatch,Complaint contrasts public denial of addictiveness with design patterns that allegedly impede disengagement.,"['denial_mismatch', 'infinite_scroll', 'autoplay', 'push_notifications']",Multistate federal complaint vs Meta,https://ag.ny.gov/sites/default/files/court-filings/meta-multistate-complaint.pdf,L3081-L3086,Pleading allegation; merits unresolved.,2.0,1.0,4,1.4,2.8
HW-012,2022-10-06,2022,JPML / N.D. Cal. MDL assignment,procedural,medium,md_litigation_formation,MDL 3047 assignment date establishing coordinated social-media adolescent addiction federal litigation.,"['procedural_coordination', 'adolescent_addiction_litigation']",N.D. Cal. MDL 3047 CMO No. 1 (Dkt. 75 excerpt),https://www.docketalarm.com/cases/California_Northern_District_Court/4--22-md-03047/IN_RE--_SOCIAL_MEDIA_ADOLESCENT_ADDICTION-PERSONAL_INJURY_PRODUCTS_LIABILITY_LITIGATION/75/,"Case text noting assignment on October 6, 2022",Procedural case-formation milestone.,1.0,1.5,2,1.2,1.7999999999999998
HW-005,2023-10-24,2023,33-state coalition federal complaint,allegation,low,boundary_erosion_design,"Complaint identifies infinite scroll, autoplay, and notifications as design features that override disengagement attempts.","['infinite_scroll', 'autoplay', 'push_notifications', 'compulsive_use', 'self_regulation_friction']",Multistate federal complaint vs Meta,https://ag.ny.gov/sites/default/files/court-filings/meta-multistate-complaint.pdf,L3076-L3092,Pleading allegation; merits unresolved.,2.0,1.0,5,1.5,3.0
HW-013,2023-11-30,2023,Washington Attorney General,procedural,medium,unsealing_milestone,Statement announcing unsealed federal complaint and release of previously confidential allegations/materials.,"['unsealing', 'public_evidence_release', 'addictive_features']",Washington AG statement on unsealed Meta complaint,https://www.atg.wa.gov/news/news-releases/ag-ferguson-statement-unsealed-federal-complaint-against-meta-harming-youth,"Publication date and announcement text (Nov 30, 2023)",Procedural/public-disclosure milestone.,1.0,1.5,3,1.3,1.9500000000000002
HW-014,2024-02-19,2024,European Commission,procedural,high,regulatory_formal_proceedings,Commission opened formal DSA proceedings against TikTok including addictive-design risk-management concerns.,"['regulatory_proceedings', 'addictive_design', 'algorithmic_systems', 'minors_protection']",Commission opens formal proceedings against TikTok under DSA,https://digital-strategy.ec.europa.eu/en/news/commission-opens-formal-proceedings-against-tiktok-under-digital-services-act,Publication date and proceedings scope,Formal regulatory proceeding; not final merits finding.,1.0,2.0,4,1.4,2.8
HW-015,2024-10-08,2024,Commonwealth of Kentucky,procedural,medium,state_complaint_filing,Kentucky complaint initiated against TikTok alleging KCPA and related statutory violations.,"['state_complaint', 'consumer_protection', 'addictive_features']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L18-L22; L79-L80,Procedural filing milestone.,1.0,1.5,3,1.3,1.9500000000000002
HW-016,2025-01-13,2025,TikTok defendants,procedural,low,motion_to_dismiss_filing,Defendant motion to dismiss filed.,"['motion_practice', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L11-L14; L80-L83,Procedural docket milestone.,1.0,1.0,2,1.2,1.2
HW-017,2025-03-13,2025,Commonwealth of Kentucky,procedural,low,motion_response_filing,Plaintiff response to motion to dismiss filed.,"['motion_practice', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L81-L82,Procedural docket milestone.,1.0,1.0,2,1.2,1.2
HW-018,2025-04-10,2025,TikTok defendants,procedural,low,motion_reply_filing,Defendant reply in support of motion to dismiss filed.,"['motion_practice', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L82-L83,Procedural docket milestone.,1.0,1.0,2,1.2,1.2
HW-019,2025-05-01,2025,Scott Circuit Court,procedural,medium,hearing_milestone,Court heard oral arguments on motion to dismiss.,"['hearing', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L12-L13; L83-L84,Procedural hearing milestone.,1.0,1.5,2,1.2,1.7999999999999998
HW-020,2025-05-05,2025,TikTok defendants,procedural,low,supplemental_authority_notice,Defendant notice of filing supplemental authority submitted.,"['supplemental_authority', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L83-L84,Procedural docket milestone.,1.0,1.0,2,1.2,1.2
HW-021,2025-05-12,2025,Commonwealth of Kentucky,procedural,low,sur_reply_filing,Commonwealth filed sur-reply with leave of Court.,"['sur_reply', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L84-L85,Procedural docket milestone.,1.0,1.0,2,1.2,1.2
HW-022,2025-05-29,2025,Commonwealth of Kentucky,procedural,low,supplemental_authority_notice,Commonwealth notice of supplemental authority in opposition filed.,"['supplemental_authority', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L84-L86,Procedural docket milestone.,1.0,1.0,2,1.2,1.2
HW-023,2025-06-26,2025,TikTok defendants,procedural,low,supplemental_response,Defendant response to Commonwealth supplemental notice filed.,"['supplemental_authority', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L85-L86; L96-L97,Procedural docket milestone.,1.0,1.0,2,1.2,1.2
HW-024,2025-09-05,2025,Commonwealth of Kentucky,procedural,low,supplemental_authority_notice,Commonwealth second supplemental authority notice filed.,"['supplemental_authority', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L96-L98,Procedural docket milestone.,1.0,1.0,2,1.2,1.2
HW-025,2025-09-09,2025,TikTok defendants,procedural,low,supplemental_response,Defendant response to second supplemental notice filed.,"['supplemental_authority', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L97-L98,Procedural docket milestone.,1.0,1.0,2,1.2,1.2
HW-026,2025-10-31,2025,Commonwealth of Kentucky,procedural,low,supplemental_authority_notice,Commonwealth third supplemental authority notice filed.,"['supplemental_authority', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L98-L99,Procedural docket milestone.,1.0,1.0,2,1.2,1.2
HW-027,2025-11-06,2025,TikTok defendants,procedural,low,supplemental_response,Defendant response to third supplemental notice filed.,"['supplemental_authority', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L99-L100,Procedural docket milestone.,1.0,1.0,2,1.2,1.2
HW-028,2025-11-12,2025,Commonwealth of Kentucky,procedural,low,supplemental_authority_notice,Commonwealth fourth supplemental authority notice filed.,"['supplemental_authority', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L100-L101,Procedural docket milestone.,1.0,1.0,2,1.2,1.2
HW-029,2025-11-14,2025,TikTok defendants,procedural,low,supplemental_response,Defendant response to fourth supplemental notice filed.,"['supplemental_authority', 'procedural']",Scott Circuit Court order denying motion to dismiss,https://www.ag.ky.gov/Press%20Release%20Attachments/2026.02.20%20Order%20Denying%20MTD.pdf,L14-L15; L101-L102,Procedural docket milestone.,1.0,1.0,2,1.2,1.2
HW-006,2025-11-21,2025,Meta internal UX chat (quoted in MDL filing),admission,high,compulsion_language,Filed brief quotes internal chat comparing Instagram dynamics to drug-pusher dynamics.,"['compulsive_use', 'addiction_language', 'attention_capture']",MDL 3047 plaintiffs corrected omnibus opposition,https://s3.documentcloud.org/documents/26297953/unredacted-meta-filing.pdf?t=1764000800917,L1034; L1923-L1924,Filed citation to exhibits; merits unresolved.,3.0,2.0,3,1.3,7.800000000000001
