id,domain,instrument,V_domain,V_instrument,Pe_domain,Pe_instrument,delta_Pe,J1_USD,J2_USD,J_mean_USD,sigma,T,I_inv,Ind,spec_score,O_domain,circuit,notes
P01,Global corporate compliance,Deloitte Risk Advisory,6,8,3.844,25.190,21.346,280000,350000,315000,-14756.69,0,1,1,2,2,extraction,Big Four flagship. Proprietary methodology. Multi-year engagement coupling.
P02,ESG-reporting corporates,MSCI ESG Ratings,6,7,3.844,12.882,9.038,110000,95000,102500,-11341.03,1,1,2,4,2,extraction,Berg et al 2022: pairwise ESG correlation 0.54. Opacity generating disagreement.
P03,GDPR-regulated digital platforms,OneTrust Privacy & AI Gov.,6,6,3.844,3.844,0.000,45000,30000,37500,,1,1,2,4,2,extraction,ΔPe ≈ 0 — domain and instrument at same Pe level. σ near undefined.
P04,EU AI Act high-risk systems,EU Conformity Assessment (NB),5,5,-4.218,-4.218,0.000,75000,50000,62500,,1,2,2,5,2,extraction,Notified body regime. Delegated methodological discretion. ΔPe≈0 at current state.
P05,ML models in production (enterprise),Arthur AI (Model Monitoring),5,4,-4.218,-13.351,-9.133,25000,30000,27500,3011.08,1,2,2,5,2,extraction,"Instrument has lower Pe than domain — ΔPe negative, constraint direction."
P06,AI systems governance (general),ISO/IEC 42001 Certification,5,3,-4.218,-25.873,-21.655,8000,5000,6500,300.16,2,2,2,6,2,constraint,Published standard. Lower Pe instrument pulling toward constraint pole.
P07,AI risk management (US orgs),NIST AI RMF (voluntary),5,2,-4.218,-44.964,-40.746,3000,2500,2750,67.49,3,3,3,9,2,constraint,"Maximum constraint-pole instrument. Fully open, voluntary, independent."
P08,Financial sector (large banks),Big Four Financial Audit,6,8,3.844,25.190,21.346,2000000,1500000,1750000,-81981.64,0,1,1,2,2,extraction,Deep coupling: auditor switching predicted by adverse opinion probability (Lennox 2005).
P09,ESG-disclosing companies (climate),Refinitiv ESG Data,6,7,3.844,12.882,9.038,80000,60000,70000,-7745.10,1,1,2,4,2,extraction,Part of the 0.54 correlation cluster (Berg et al 2022).
P10,Credit risk (corporate bonds),S&P Credit Ratings,6,2,3.844,-44.964,-48.808,500000,300000,400000,8195.40,2,2,2,6,2,constraint,Credit ratings 0.99 correlation vs ESG 0.54 (Berg et al 2022). Low-void instrument.
P11,Bank capital adequacy,EBA Internal Ratings-Based (IRB),4,3,-13.351,-25.873,-12.522,800000,600000,700000,55900.44,2,2,3,7,2,constraint,Published regulatory text. Supervisory independence (ECB/national regulator).
P12,Healthcare AI (clinical decision support),FDA AI/ML SaMD Framework,5,3,-4.218,-25.873,-21.655,50000,30000,40000,1847.13,2,2,3,7,2,constraint,Independent government regulator. Published guidance. Invariant criteria.
P13,Algorithmic hiring tools,NYC Local Law 144 / Audit firms,6,4,3.844,-13.351,-17.195,15000,12000,13500,785.11,1,2,2,5,2,constraint,"Public mandate, defined scope. Lower Pe instrument than domain."
P14,Cryptocurrency exchange platforms,FATF Virtual Asset Guidance,7,5,12.882,-4.218,-17.100,3500000,2800000,3150000,184209.58,1,2,2,5,3,constraint,Constraint direction: FATF lower Pe than crypto domain.
P15,Carbon credit projects (CDM/VCS),CDM Designated Op. Entities,7,6,12.882,3.844,-9.038,80000,60000,70000,7745.10,1,1,1,3,2,extraction,Sovacool 2010: ~75% CDM projects non-additional. Instrument near domain Pe.
