id,name,category,a_priori,O,R,C,Modifier,void_index,paper52_score,delta_from_paper52,O_justification,R_justification,C_justification,M_justification
1,Deloitte Risk Advisory,paper52_original,high_void,3,2,3,3,11,11,0,"Methodology fully proprietary (Power 1997: 'comfort not knowledge'). PCAOB 2023 found 40% of engagements had insufficient documentation of auditor reasoning — opacity extends to regulator. Engagement reports disclose conclusions, not derivation chains. Score 3.",Goodhart dynamics documented: audit methodologies recalibrate in response to regulatory feedback (PCAOB inspection cycles) and client retention pressures (Lennox 2005: auditor switching predicted by adverse opinion probability). Not fully responsive (external audit standards constrain scope). Score 2.,"Multi-year audit engagements, revolving door with client compliance functions, personnel pipelines from Big Four to regulated firms. Coffee (2006) gatekeeper failure model: independence progressively eroded by long-term relationship. Deep structural coupling. Score 3.",Three amplifiers: (1) regulatory capture via Big Four lobbying on audit standards; (2) systemic risk from concentration (four firms cover 99% of Fortune 500); (3) information asymmetry layered — opacity about what opacity the audit reveals. Score 3.
2,MSCI ESG Ratings,paper52_original,high_void,3,2,2,3,10,10,0,"Berg et al (2022): pairwise ESG provider correlation 0.54 — a direct consequence of methodological divergence. MSCI discloses ESG framework categories but not specific weights, aggregation algorithm, or override logic. Raw source data partially available but interpretive layer is proprietary. Score 3.","Rating recalibration documented in response to issuer disputes and regulatory pressure (EU Taxonomy alignment). MSCI's reclassification of Russian bonds after 2022 invasion showed ad hoc override. However, baseline methodology published and updated systematically, not fully Goodhart-responsive. Score 2.","Institutional investor subscription model creates switching costs (data licensing, portfolio re-indexing). Not as deeply coupled as Big Four advisory (no personnel pipeline). Moderate sustained engagement. Score 2.",Three amplifiers: (1) index inclusion dependency — assets tracked to MSCI indexes create captive demand; (2) issuer engagement program creates bidirectional influence; (3) conflict of interest between analytics and index businesses. Score 3.
3,OneTrust Privacy & AI Gov.,paper52_original,high_void,2,2,2,2,8,8,0,"Software platform with published compliance frameworks but proprietary risk-scoring algorithms and assessment logic. Customers see outputs, not the inference chain. GDPR/AI Act compliance determination is partially explained but decision logic is obscured by SaaS delivery. Partial disclosure of framework categories. Score 2.","OneTrust product roadmap explicitly tracks regulatory changes (GDPR, CCPA, AI Act) and updates scoring frameworks accordingly. This is regulatory-reactive development, not purely Goodhart gaming, but platform aligns outputs to compliance optics rather than substantive risk reduction. Score 2.","Enterprise SaaS with multi-year contracts, deep data-integration with client compliance workflows, and significant switching costs (data migration, workflow re-engineering). Not as structurally embedded as Big Four. Score 2.",Two amplifiers: (1) vendor lock-in through data integration; (2) regulatory complexity manufactured by the compliance platform reinforces demand for itself. Score 2.
4,EU AI Act Conformity (Notified Bodies),paper52_original,medium,2,1,2,2,7,7,0,"EU AI Act Art. 9-15 mandates conformity assessment but delegates methodological discretion to notified bodies. Specific tests, thresholds, and risk criteria are not publicly standardized across bodies. Published guidance exists (ENISA, EC guidance notes) but operational implementation is notified-body-specific. Score 2.","Notified bodies operate under accreditation requirements (IAF, national accreditation bodies) that constrain responsiveness — criteria cannot simply adapt to client preference. Regulation is new (2024) so Goodhart dynamics not yet fully developed. Some inter-notified-body competition may create partial responsiveness. Score 1.","Certification relationship creates multi-year dependency (annual surveillance audits, 3-yr recertification cycle). Provider chooses notified body and maintains ongoing relationship. Not as deep as Big Four (fixed statutory role). Score 2.",Two amplifiers: (1) notified body market concentration risk as regime matures; (2) regulatory complexity creates demand for ongoing advisory that notified bodies may exploit. Score 2.
5,Arthur AI (Model Monitoring),paper52_original,medium,2,1,1,2,6,6,0,"ML monitoring platform with published fairness and drift metrics (open documentation) but proprietary alerting logic and risk thresholds. Standard metrics (PSI, MMD) are public; the specific thresholds Arthur applies and the recommendation logic are not. Partial transparency (more than Big Four, less than NIST). Score 2.","Product roadmap updates with regulatory requirements (EU AI Act, FDA SaMD guidance). Monitoring thresholds are configurable by client — creating potential Goodhart adaptation at implementation. Core methodology does not appear to strategically recalibrate in response to audit. Score 1.",SaaS integration with ML pipelines creates switching costs (model re-instrumentation). Not multi-year deep coupling; customers can and do switch MLOps vendors. Score 1.,Two amplifiers: (1) integration lock-in through API coupling; (2) monitoring platform creates compliance performance signal divorced from actual model behavior change. Score 2.
6,ISO/IEC 42001 Certification,paper52_original,constraint_pole,1,2,0,2,5,5,0,ISO 42001:2023 text is publicly purchasable. Requirements are stated abstractly (must establish risk assessment processes) without operational specificity. Implementation is interpreted by certification bodies whose methods vary. Published standard but significant implementation opacity. Score 1.,"ISO standards are revised on a ~5yr cycle — relatively slow adaptation. However, Blind et al (2017) show ISO adoption functions as market signaling, and firms pursue certification for positioning rather than improvement — a Goodhart loop at the level of adoption incentives rather than the standard itself. Score 2.",Certification is one-time + surveillance audits from independent accredited bodies. Low ongoing dependency — certifier is not an advisory partner. Score 0.,Two amplifiers: (1) certification proliferation fragments the measurement landscape ('over 80 AI governance frameworks' — Cihon et al 2021); (2) certificate opacity — gap between what certification signals and what it substantively guarantees. Score 2.
7,NIST AI RMF (Constraint),paper52_original,constraint_pole,0,1,1,1,3,3,0,"NIST AI RMF 1.0 (2023) is fully open: all framework text, playbook, and reference resources publicly available at no cost. No proprietary elements. Assessment using the framework is self-directed with full methodological disclosure. Score 0.","NIST RMF updated to v2.0 (2024) incorporating feedback from implementation experience and regulatory developments (EU AI Act alignment). This is transparent refinement based on evidence, not Goodhart gaming. Minor voluntary calibration. Score 1.","Voluntary framework with no contractual engagement model. Organizations self-assess without ongoing NIST relationship. Some ecosystem coupling via NIST-aligned consultants, but NIST itself has no dependency mechanism. Score 1.","One amplifier: voluntary adoption creates selection bias (high-performing orgs self-select, masking performance among non-adopters). Score 1."
8,S&P Global Credit Ratings,new_boundary,constraint_pole,1,1,0,1,3,,,"S&P publishes criteria documents for each rating category — substantially more transparent than ESG ratings. Weighting of specific factors is disclosed in criteria. Some implementation judgment remains proprietary. Berg et al (2022): pairwise correlation 0.99 vs ESG 0.54, reflecting lower methodological opacity. Score 1.",Historical rating recalibration (pre-2008 structured finance) documented. Post-crisis PCAOB/SEC oversight increased invariance. Current criteria are published and updated transparently. Mostly invariant under regulatory supervision. Score 1.,"Issuer-pays model creates theoretical conflict of interest, but no persistent structural coupling — rating is episodic, not continuous deep engagement. Score 0.",One amplifier: issuer-pays conflict (unresolved systemic incentive). Score 1.
9,EBA Internal Ratings-Based (IRB),new_boundary,constraint_pole,1,1,1,1,4,,,"EBA publishes comprehensive technical standards (CRR2, EBA GL 2017/07) governing IRB model validation. Methodology is substantially disclosed. Individual bank model implementations are proprietary, but the supervisory framework is open. Score 1.","EBA methodology revised following Basel 3.1 (2024), reflecting regulatory learning. This is institutional update, not Goodhart adaptation. National supervisor reviews constrain bank-driven responsiveness. Mostly invariant. Score 1.",Ongoing supervisory relationship (ECB/national regulator) creates structural coupling at the system level. Not equivalent to commercial coupling — supervision is adversarial by design. Low operational dependency. Score 1.,One amplifier: regulatory arbitrage across national supervisors creates partial jurisdiction-shopping. Score 1.
10,Refinitiv ESG Data (LSEG),new_boundary,high_void,3,2,2,3,10,,,Refinitiv ESG methodology: aggregation into composite scores using undisclosed weights. Berg et al (2022) find Refinitiv contributes substantially to inter-provider divergence (part of 0.54 correlation cluster). Scope of materiality selection and override criteria not published. Score 3.,"Data revisions and methodology updates documented without transparent change log. 2022 LSEG acquisition introduced further methodological uncertainty. Partial responsiveness to regulatory ESG standardization (EU Taxonomy, SFDR) but adaptation is reactive rather than principled. Score 2.",Institutional data licensing with multi-year contracts. Bloomberg/Refinitiv terminal access creates workflow integration lock-in. Moderate coupling. Score 2.,Three amplifiers: (1) index integration dependency (FTSE Russell cross-sell); (2) conflict between data provision and ESG index construction; (3) limited external audit of Refinitiv methodology. Score 3.
